Symbol,Name,IPOyear,Sector,Industry,List
BRG^A,"Bluerock Residential Growth REIT, Inc.",n/a,n/a,n/a,AMEX
BRG^C,"Bluerock Residential Growth REIT, Inc.",n/a,n/a,n/a,AMEX
BRG^D,"Bluerock Residential Growth REIT, Inc.",n/a,n/a,n/a,AMEX
DMF,BNY Mellon Municipal Income Inc.,1988,n/a,n/a,AMEX
BWL.A,"Bowl America, Inc.",n/a,n/a,n/a,AMEX
BRMK.WS,Broadmark Realty Capital Inc.,n/a,n/a,n/a,AMEX
CMCL,Caledonia Mining Corporation Plc,n/a,Basic Industries,Precious Metals,AMEX
CEI,"Camber Energy, Inc.",n/a,Energy,Oil & Gas Production,AMEX
CANF,Can-Fite Biopharma Ltd,n/a,Health Care,Major Pharmaceuticals,AMEX
YCBD,"cbdMD, Inc.",2017,Consumer Non-Durables,Package Goods/Cosmetics,AMEX
YCBD^A,"cbdMD, Inc.",n/a,n/a,n/a,AMEX
CVM,Cel-Sci Corporation,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),AMEX
CET,Central Securities Corporation,n/a,n/a,n/a,AMEX
LEU,Centrus Energy Corp.,2014,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),AMEX
CCF,Chase Corporation,n/a,Consumer Durables,Building Products,AMEX
CQP,"Cheniere Energy Partners, LP",2007,Public Utilities,Oil/Gas Transmission,AMEX
LNG,"Cheniere Energy, Inc.",n/a,Public Utilities,Oil/Gas Transmission,AMEX
CVR,Chicago Rivet & Machine Co.,n/a,Technology,Industrial Machinery/Components,AMEX
CPHI,"China Pharma Holdings, Inc.",n/a,Health Care,Major Pharmaceuticals,AMEX
CKX,"CKX Lands, Inc.",n/a,Energy,Oil & Gas Production,AMEX
GLV,Clough Global Dividend and Income Fund,2004,n/a,n/a,AMEX
GLQ,Clough Global Equity Fund,2005,n/a,n/a,AMEX
GLO,Clough Global Opportunities Fund,2006,n/a,n/a,AMEX
COHN,Cohen & Company Inc.,n/a,Finance,Investment Bankers/Brokers/Service,AMEX
CIX,CompX International Inc.,1998,Capital Goods,Industrial Machinery/Components,AMEX
LODE,"Comstock Mining, Inc.",n/a,Basic Industries,Precious Metals,AMEX
CDOR,"Condor Hospitality Trust, Inc.",n/a,Consumer Services,Real Estate Investment Trusts,AMEX
CTO,Consolidated-Tomoka Land Co.,n/a,Finance,Real Estate,AMEX
MCF,Contango Oil & Gas Company,n/a,Energy,Oil & Gas Production,AMEX
CUO,Continental Materials Corporation,n/a,Capital Goods,Building Materials,AMEX
CMT,Core Molding Technologies Inc,n/a,Consumer Non-Durables,Plastic Products,AMEX
CRMD,CorMedix Inc.,n/a,Health Care,Major Pharmaceuticals,AMEX
CRF,"Cornerstone Strategic Return Fund, Inc. (The)",n/a,n/a,n/a,AMEX
CLM,"Cornerstone Strategic Value Fund, Inc.",1987,n/a,n/a,AMEX
CVU,"CPI Aerostructures, Inc.",n/a,Capital Goods,Military/Government/Technical,AMEX
CIK,"Credit Suisse Asset Management Income Fund, Inc.",n/a,n/a,n/a,AMEX
DHY,Credit Suisse High Yield Bond Fund,1998,n/a,n/a,AMEX
CRHM,CRH Medical Corporation,2015,Health Care,Medical/Nursing Services,AMEX
CTEK,"CynergisTek, Inc.",2017,Miscellaneous,Business Services,AMEX
DXR,Daxor Corporation,n/a,Health Care,Medical/Dental Instruments,AMEX
VCF,"Delaware Investments Colorado Municipal Income Fund, Inc",1993,n/a,n/a,AMEX
VFL,Delaware Investments Florida Insured Municipal Income Fund,1993,n/a,n/a,AMEX
VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc.",1993,n/a,n/a,AMEX
DLA,"Delta Apparel, Inc.",n/a,Consumer Non-Durables,Apparel,AMEX
DNN,Denison Mine Corp,n/a,Basic Industries,Precious Metals,AMEX
DSS,"Document Security Systems, Inc.",n/a,Consumer Durables,Containers/Packaging,AMEX
DPW,"DPW Holdings, Inc.",n/a,Capital Goods,Industrial Machinery/Components,AMEX
DXF,Dunxin Financial Holdings Limited,n/a,Finance,Finance: Consumer Services,AMEX
GRF,"Eagle Capital Growth Fund, Inc.",n/a,n/a,n/a,AMEX
EVM,Eaton Vance California Municipal Bond Fund,2002,n/a,n/a,AMEX
CEV,Eaton Vance California Municipal Income Trust,1999,n/a,n/a,AMEX
EVV,Eaton Vance Limited Duration Income Fund,2003,n/a,n/a,AMEX
EIM,Eaton Vance Municipal Bond Fund,2002,n/a,n/a,AMEX
ENX,Eaton Vance New York Municipal Bond Fund,2002,n/a,n/a,AMEX
EVY,Eaton Vance New York Municipal Income Trust,1999,n/a,n/a,AMEX
ELMD,"Electromed, Inc.",2011,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,AMEX
ELLO,Ellomay Capital Ltd.,n/a,Public Utilities,Electric Utilities: Central,AMEX
ECF,Ellsworth Growth and Income Fund Ltd.,1986,n/a,n/a,AMEX
ECF^A,Ellsworth Growth and Income Fund Ltd.,n/a,n/a,n/a,AMEX
EMAN,eMagin Corporation,n/a,Technology,Semiconductors,AMEX
MSN,Emerson Radio Corporation,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,AMEX
EMX,EMX Royalty Corporation,n/a,Basic Industries,Precious Metals,AMEX
UUUU,Energy Fuels Inc,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),AMEX
UUUU.WS,Energy Fuels Inc,n/a,n/a,n/a,AMEX
ENSV,ENSERVCO Corporation,n/a,Energy,Oilfield Services/Equipment,AMEX
ELA,Envela Corporation,n/a,Consumer Services,Consumer Specialties,AMEX
EQX,Equinox Gold Corp.,n/a,Basic Industries,Precious Metals,AMEX
ESP,Espey Mfg. & Electronics Corp.,n/a,Capital Goods,Industrial Machinery/Components,AMEX
EVBN,"Evans Bancorp, Inc.",n/a,Finance,Major Banks,AMEX
EVI,"EVI Industries, Inc.",n/a,Consumer Services,Other Consumer Services,AMEX
EPM,"Evolution Petroleum Corporation, Inc.",n/a,Energy,Oil & Gas Production,AMEX
FEN,First Trust Energy Income and Growth Fund,2004,n/a,n/a,AMEX
BDL,"Flanigan&#39;s Enterprises, Inc.",n/a,Consumer Services,Restaurants,AMEX
FSI,Flexible Solutions International Inc.,n/a,Basic Industries,Major Chemicals,AMEX
FTF,Franklin Limited Duration Income Trust,2003,n/a,n/a,AMEX
FSP,Franklin Street Properties Corp.,n/a,Consumer Services,Real Estate Investment Trusts,AMEX
FRD,Friedman Industries Inc.,n/a,Capital Goods,Steel/Iron Ore,AMEX
GGN,"GAMCO Global Gold, Natural Reources & Income Trust ",2005,n/a,n/a,AMEX
GGN^B,"GAMCO Global Gold, Natural Reources & Income Trust ",n/a,n/a,n/a,AMEX
JOB,GEE Group Inc.,n/a,Technology,Diversified Commercial Services,AMEX
GMO,"General Moly, Inc",n/a,Basic Industries,Precious Metals,AMEX
GSB,"GlobalSCAPE, Inc.",n/a,Technology,Computer Software: Prepackaged Software,AMEX
GSAT,"Globalstar, Inc.",2006,Consumer Services,Telecommunications Equipment,AMEX
GORO,Gold Resource Corporation,n/a,Basic Industries,Precious Metals,AMEX
GSV,Gold Standard Ventures Corporation,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),AMEX
AUMN,Golden Minerals Company,n/a,Basic Industries,Precious Metals,AMEX
GSS,"Golden Star Resources, Ltd",n/a,Basic Industries,Precious Metals,AMEX
GV,Goldfield Corporation (The),n/a,Basic Industries,Water Supply,AMEX
GDP,Goodrich Petroleum Corporation,2017,Energy,Oil & Gas Production,AMEX
GTE,Gran Tierra Energy Inc.,n/a,Energy,Oil & Gas Production,AMEX
GPL,Great Panther Mining Limited,n/a,Basic Industries,Precious Metals,AMEX
SIM,"Grupo Simec, S.A. de C.V.",1993,Basic Industries,Steel/Iron Ore,AMEX
AIM,"Hemispherx BioPharma, Inc.",n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),AMEX
HLM^,Hillman Group Capital Trust,n/a,n/a,n/a,AMEX
HMG,"HMG/Courtland Properties, Inc.",n/a,Consumer Services,Real Estate Investment Trusts,AMEX
HUSA,Houston American Energy Corporation,n/a,Energy,Oil & Gas Production,AMEX
IBIO,"iBio, Inc.",n/a,Health Care,Major Pharmaceuticals,AMEX
IBO,IBO (Listing Market - NYSE Amex Network B F),n/a,n/a,n/a,AMEX
IMH,"Impac Mortgage Holdings, Inc.",1997,Consumer Services,Real Estate Investment Trusts,AMEX
IMO,Imperial Oil Limited,n/a,Energy,Integrated oil Companies,AMEX
IOR,"Income Opportunity Realty Investors, Inc.",n/a,Consumer Services,Real Estate Investment Trusts,AMEX
IGC,India Globalization Capital Inc.,n/a,Technology,Electronic Components,AMEX
INDO,Indonesia Energy Corporation Limited,2019,Energy,Oil & Gas Production,AMEX
INFU,"InfuSystems Holdings, Inc.",n/a,Health Care,Medical/Dental Instruments,AMEX
IHT,InnSuites Hospitality Trust,n/a,Consumer Services,Real Estate Investment Trusts,AMEX
NSPR,InspireMD Inc.,n/a,Health Care,Medical/Dental Instruments,AMEX
NSPR.WS,InspireMD Inc.,n/a,n/a,n/a,AMEX
NSPR.WS.B,InspireMD Inc.,n/a,n/a,n/a,AMEX
INS,Intelligent Systems Corporation,1992,Technology,Computer Software: Prepackaged Software,AMEX
THM,International Tower Hill Mines Ltd,n/a,Basic Industries,Precious Metals,AMEX
INTT,inTest Corporation,1997,Capital Goods,Electrical Products,AMEX
INUV,"Inuvo, Inc",n/a,Consumer Services,Advertising,AMEX
VKI,Invesco Advantage Municipal Income Trust II,n/a,n/a,n/a,AMEX
ISR,"IsoRay, Inc.",n/a,Health Care,Medical/Dental Instruments,AMEX
ISDR,Issuer Direct Corporation,n/a,Miscellaneous,Publishing,AMEX
ITP,"IT Tech Packaging, Inc.",n/a,Consumer Durables,Containers/Packaging,AMEX
KLR,"Kaleyra, Inc.",2018,Technology,EDP Services,AMEX
KLR.WS,"Kaleyra, Inc.",n/a,n/a,n/a,AMEX
KIQ,Kelso Technologies Inc,n/a,Capital Goods,Railroads,AMEX
LGL,"LGL Group, Inc. (The)",n/a,Capital Goods,Industrial Machinery/Components,AMEX
LBY,"Libbey, Inc.",1993,Capital Goods,Industrial Machinery/Components,AMEX
LLEX,"Lilis Energy, Inc.",n/a,Energy,Oil & Gas Production,AMEX
LCTX,"Lineage Cell Therapeutics, Inc.",n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),AMEX
MAG,MAG Silver Corporation,n/a,Basic Industries,Precious Metals,AMEX
MHH,"Mastech Digital, Inc",n/a,Consumer Services,Professional Services,AMEX
MTNB,"Matinas Biopharma Holdings, Inc.",2017,Health Care,Major Pharmaceuticals,AMEX
MMX,Maverix Metals Inc.,n/a,Basic Industries,Precious Metals,AMEX
IPB,"Merrill Lynch & Co., Inc. 6.0518% Index Plus Trust Certificate",n/a,Finance,Finance: Consumer Services,AMEX
MTA,Metalla Royalty & Streaming Ltd.,n/a,Basic Industries,Precious Metals,AMEX
MXC,Mexco Energy Corporation,n/a,Energy,Oil & Gas Production,AMEX
MICR,"Micron Solutions, Inc.",n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,AMEX
MLSS,"Milestone Scientific, Inc.",2015,Health Care,Industrial Specialties,AMEX
MYO,Myomo Inc.,2017,Health Care,Industrial Specialties,AMEX
NNVC,"NanoViricides, Inc.",n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,AMEX
ATEST,NASDAQ TEST STOCK,n/a,n/a,n/a,AMEX
ATEST.A,NASDAQ TEST STOCK,n/a,n/a,n/a,AMEX
ATEST.B,NASDAQ TEST STOCK,n/a,n/a,n/a,AMEX
ATEST.C,NASDAQ TEST STOCK,n/a,n/a,n/a,AMEX
NHC,National HealthCare Corporation,n/a,Health Care,Hospital/Nursing Management,AMEX
NAVB,"Navidea Biopharmaceuticals, Inc.",n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,AMEX
NTIP,"Network-1 Technologies, Inc.",n/a,Miscellaneous,Multi-Sector Companies,AMEX
NBW,Neuberger Berman California Municipal Fund Inc,2002,n/a,n/a,AMEX
NHS,Neuberger Berman High Yield Strategies Fund,n/a,n/a,n/a,AMEX
NML,Neuberger Berman MLP and Energy Income Fund Inc.,2013,n/a,n/a,AMEX
NBH,Neuberger Berman Municipal Fund Inc.,2002,n/a,n/a,AMEX
NBO,Neuberger Berman New York Municipal Fund Inc.,2002,n/a,n/a,AMEX
NRO,"Neuberger Berman Real Estate Securities Income Fund, Inc.",2003,n/a,n/a,AMEX
GBR,"New Concept Energy, Inc",n/a,Energy,Oil & Gas Production,AMEX
NEN,New England Realty Associates Limited Partnership,n/a,Consumer Services,Building operators,AMEX
NGD,New Gold Inc.,n/a,Basic Industries,Precious Metals,AMEX
NXE,Nexgen Energy Ltd.,n/a,Basic Industries,Precious Metals,AMEX
NAK,"Northern Dynasty Minerals, Ltd.",n/a,Basic Industries,Precious Metals,AMEX
NOG,"Northern Oil and Gas, Inc.",n/a,Energy,Oil & Gas Production,AMEX
NBY,"NovaBay Pharmaceuticals, Inc.",2007,Health Care,Major Pharmaceuticals,AMEX
NG,Novagold Resources Inc.,n/a,Basic Industries,Precious Metals,AMEX
NTN,"NTN Buzztime, Inc.",n/a,Consumer Services,Broadcasting,AMEX
NES,"Nuverra Environmental Solutions, Inc.",2017,Energy,Oilfield Services/Equipment,AMEX
OBLG,Oblong Inc.,n/a,Public Utilities,Telecommunications Equipment,AMEX
OCX,OncoCyte Corporation,2015,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,AMEX
OGEN,Oragenics Inc.,n/a,Health Care,Major Pharmaceuticals,AMEX
PCG^A,Pacific Gas & Electric Co.,n/a,n/a,n/a,AMEX
PCG^B,Pacific Gas & Electric Co.,n/a,n/a,n/a,AMEX
PCG^C,Pacific Gas & Electric Co.,n/a,n/a,n/a,AMEX
PCG^D,Pacific Gas & Electric Co.,n/a,n/a,n/a,AMEX
PCG^E,Pacific Gas & Electric Co.,n/a,n/a,n/a,AMEX
PCG^G,Pacific Gas & Electric Co.,n/a,n/a,n/a,AMEX
PCG^H,Pacific Gas & Electric Co.,n/a,n/a,n/a,AMEX
PCG^I,Pacific Gas & Electric Co.,n/a,n/a,n/a,AMEX
PTN,"Palatin Technologies, Inc.",n/a,Health Care,Major Pharmaceuticals,AMEX
PZG,Paramount Gold Nevada Corp.,2015,Basic Industries,Precious Metals,AMEX
PRK,Park National Corporation,n/a,Finance,Major Banks,AMEX
PED,Pedevco Corp.,n/a,Energy,Oil & Gas Production,AMEX
PFNX,Pfenex Inc.,2014,Health Care,Major Pharmaceuticals,AMEX
HNW,Pioneer Diversified High Income Trust,2007,n/a,n/a,AMEX
PLAG,Planet Green Holdings Corp,n/a,Consumer Non-Durables,Packaged Foods,AMEX
PLG,Platinum Group Metals Ltd.,n/a,Basic Industries,Precious Metals,AMEX
PLYM^A,"Plymouth Industrial REIT, Inc.",n/a,n/a,n/a,AMEX
PLM,Polymet Mining Corp.,n/a,Basic Industries,Precious Metals,AMEX
PW,Power REIT,n/a,Consumer Services,Real Estate Investment Trusts,AMEX
PW^A,Power REIT,n/a,n/a,n/a,AMEX
PLX,"Protalix BioTherapeutics, Inc.",n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),AMEX
RLGT,"Radiant Logistics, Inc.",n/a,Transportation,Oil Refining/Marketing,AMEX
UTG,Reaves Utility Income Fund,2004,n/a,n/a,AMEX
RHE,"Regional Health Properties, Inc.",2017,Health Care,Hospital/Nursing Management,AMEX
RHE^A,"Regional Health Properties, Inc.",n/a,n/a,n/a,AMEX
RCG,"RENN Fund, Inc.",n/a,n/a,n/a,AMEX
RVP,"Retractable Technologies, Inc.",n/a,Health Care,Medical/Dental Instruments,AMEX
REI,"Ring Energy, Inc.",n/a,Energy,Oil & Gas Production,AMEX
RIF,RMR Real Estate Income Fund,n/a,n/a,n/a,AMEX
SACC,Sachem Capital Corp.,2019,Consumer Services,Real Estate Investment Trusts,AMEX
SACH,Sachem Capital Corp.,2017,Consumer Services,Real Estate Investment Trusts,AMEX
SCCB,Sachem Capital Corp.,2019,Consumer Services,Real Estate Investment Trusts,AMEX
SNMP,Sanchez Midstream Partners LP,n/a,Energy,Oil & Gas Production,AMEX
SEB,Seaboard Corporation,1996,Finance,Investment Bankers/Brokers/Service,AMEX
SENS,"Senseonics Holdings, Inc.",n/a,Capital Goods,Industrial Machinery/Components,AMEX
SVT,"Servotronics, Inc.",n/a,Capital Goods,Industrial Machinery/Components,AMEX
SMTS,Sierra Metals Inc.,n/a,Basic Industries,Precious Metals,AMEX
SIF,"SIFCO Industries, Inc.",n/a,Capital Goods,Aerospace,AMEX
SVM,Silvercorp Metals Inc.,n/a,Basic Industries,Precious Metals,AMEX
SILV,SilverCrest Metals Inc.,2018,Basic Industries,Precious Metals,AMEX
XPL,Solitario Zinc Corp.,n/a,Basic Industries,Precious Metals,AMEX
SCE^B,Southern California Edison Company,n/a,n/a,n/a,AMEX
SCE^C,Southern California Edison Company,n/a,n/a,n/a,AMEX
SCE^D,Southern California Edison Company,n/a,n/a,n/a,AMEX
SCE^E,Southern California Edison Company,n/a,n/a,n/a,AMEX
SGB,Southwest Georgia Financial Corporation,n/a,Finance,Major Banks,AMEX
LOV,"Spark Networks, Inc.",2017,Consumer Services,Other Consumer Services,AMEX
SDI,Standard Diversified Inc.,n/a,Consumer Non-Durables,Tobacco,AMEX
STXS,"Stereotaxis, Inc.",n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,AMEX
SSY,"SunLink Health Systems, Inc.",n/a,Health Care,Hospital/Nursing Management,AMEX
SDPI,"Superior Drilling Products, Inc.",2014,Energy,Metal Fabrications,AMEX
SYN,"Synthetic Biologics, Inc",n/a,Health Care,Major Pharmaceuticals,AMEX
TKAT,"Takung Art Co., Ltd.",n/a,Consumer Services,Other Specialty Stores,AMEX
TALO.WS,"Talos Energy, Inc.",n/a,n/a,n/a,AMEX
TRX,Tanzanian Gold Corporation,n/a,Basic Industries,Precious Metals,AMEX
TGB,Taseko Mines Limited,n/a,Basic Industries,Precious Metals,AMEX
TGC,"Tengasco, Inc.",n/a,Energy,Oil & Gas Production,AMEX
GLU,The Gabelli Global Utility and Income Trust,2004,n/a,n/a,AMEX
GLU^A,The Gabelli Global Utility and Income Trust,n/a,n/a,n/a,AMEX
GLU^B,The Gabelli Global Utility and Income Trust,n/a,n/a,n/a,AMEX
GGO,The Gabelli Go Anywhere Trust,2016,n/a,n/a,AMEX
GGO^A,The Gabelli Go Anywhere Trust,n/a,n/a,n/a,AMEX
TDW.WS,Tidewater Inc.,n/a,n/a,n/a,AMEX
TMP,Tompkins Financial Corporation,n/a,Finance,Major Banks,AMEX
TAT,Transatlantic Petroleum Ltd,n/a,Energy,Oil & Gas Production,AMEX
TRXC,"TransEnterix, Inc.",n/a,Health Care,Medical/Dental Instruments,AMEX
TMQ,Trilogy Metals Inc.,n/a,Basic Industries,Precious Metals,AMEX
TPHS,Trinity Place Holdings Inc.,n/a,Consumer Services,Building operators,AMEX
TRT,Trio-Tech International,n/a,Technology,Industrial Machinery/Components,AMEX
UFAB,"Unique Fabricating, Inc.",2015,Capital Goods,Auto Parts:O.E.M.,AMEX
UAMY,United States Antimony Corporation,n/a,Capital Goods,Metal Fabrications,AMEX
UUU,"Universal Security Instruments, Inc.",n/a,Technology,Electronic Components,AMEX
URG,Ur Energy Inc,n/a,Basic Industries,Precious Metals,AMEX
UEC,Uranium Energy Corp.,n/a,Basic Industries,Precious Metals,AMEX
VHC,VirnetX Holding Corp,n/a,Miscellaneous,Multi-Sector Companies,AMEX
VGZ,Vista Gold Corporation,n/a,Basic Industries,Precious Metals,AMEX
VNRX,VolitionRX Limited,2015,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,AMEX
VOLT,"Volt Information Sciences, Inc.",n/a,Technology,Professional Services,AMEX
EAD,Wells Fargo Income Opportunities Fund,2003,n/a,n/a,AMEX
ERC,Wells Fargo Multi-Sector Income Fund,2003,n/a,n/a,AMEX
ERH,Wells Fargo Utilities and High Income Fund,2004,n/a,n/a,AMEX
WRN,Western Copper and Gold Corporation,2011,Basic Industries,Precious Metals,AMEX
WYY,WidePoint Corporation,n/a,Technology,EDP Services,AMEX
WTT,"Wireless Telecom Group,  Inc.",n/a,Capital Goods,Electrical Products,AMEX
XTNT,"Xtant Medical Holdings, Inc.",n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),AMEX
YUMA,"Yuma Energy, Inc.",n/a,Energy,Oil & Gas Production,AMEX
ZDGE,"Zedge, Inc.",2016,Technology,Computer Software: Prepackaged Software,AMEX
ZOM,Zomedica Pharmaceuticals Corp.,2017,Health Care,Major Pharmaceuticals,AMEX
TXG,"10x Genomics, Inc.",2019,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
YI,"111, Inc.",2018,Health Care,Medical/Nursing Services,NASDAQ
PIH,"1347 Property Insurance Holdings, Inc.",2014,Finance,Property-Casualty Insurers,NASDAQ
PIHPP,"1347 Property Insurance Holdings, Inc.",n/a,Finance,Property-Casualty Insurers,NASDAQ
TURN,180 Degree Capital Corp.,n/a,Finance,Finance/Investors Services,NASDAQ
FLWS,"1-800-FLOWERS.COM, Inc.",1999,Consumer Services,Other Specialty Stores,NASDAQ
BCOW,"1895 Bancorp of Wisconsin, Inc.",2019,Finance,Banks,NASDAQ
ONEM,"1Life Healthcare, Inc.",2020,Health Care,Medical/Nursing Services,NASDAQ
FCCY,1st Constitution Bancorp (NJ),n/a,Finance,Savings Institutions,NASDAQ
SRCE,1st Source Corporation,n/a,Finance,Major Banks,NASDAQ
VNET,"21Vianet Group, Inc.",2011,Technology,"Computer Software: Programming, Data Processing",NASDAQ
TWOU,"2U, Inc.",2014,Technology,Computer Software: Prepackaged Software,NASDAQ
QFIN,"360 Finance, Inc.",2018,Finance,Finance: Consumer Services,NASDAQ
KRKR,36Kr Holdings Inc.,2019,Miscellaneous,Business Services,NASDAQ
JOBS,"51job, Inc.",2004,Technology,Diversified Commercial Services,NASDAQ
ETNB,"89bio, Inc.",2019,Health Care,Major Pharmaceuticals,NASDAQ
JFK,8i Enterprises Acquisition Corp,2019,Finance,Business Services,NASDAQ
JFKKR,8i Enterprises Acquisition Corp,2019,Finance,Business Services,NASDAQ
JFKKU,8i Enterprises Acquisition Corp,2019,Finance,Business Services,NASDAQ
JFKKW,8i Enterprises Acquisition Corp,2019,Finance,Business Services,NASDAQ
EGHT,8x8 Inc,n/a,Technology,EDP Services,NASDAQ
JFU,9F Inc.,2019,Finance,Finance: Consumer Services,NASDAQ
AAON,"AAON, Inc.",n/a,Capital Goods,Industrial Machinery/Components,NASDAQ
ABEO,Abeona Therapeutics Inc.,n/a,Health Care,Major Pharmaceuticals,NASDAQ
ABMD,"ABIOMED, Inc.",n/a,Health Care,Medical/Dental Instruments,NASDAQ
AXAS,Abraxas Petroleum Corporation,n/a,Energy,Oil & Gas Production,NASDAQ
ACIU,AC Immune SA,2016,Health Care,Major Pharmaceuticals,NASDAQ
ACIA,"Acacia Communications, Inc.",2016,Technology,Semiconductors,NASDAQ
ACTG,Acacia Research Corporation,n/a,Miscellaneous,Multi-Sector Companies,NASDAQ
ACHC,"Acadia Healthcare Company, Inc.",n/a,Health Care,Medical Specialities,NASDAQ
ACAD,ACADIA Pharmaceuticals Inc.,1985,Health Care,Major Pharmaceuticals,NASDAQ
ACAM,Acamar Partners Acquisition Corp.,2019,Finance,Business Services,NASDAQ
ACAMU,Acamar Partners Acquisition Corp.,2019,Finance,Business Services,NASDAQ
